SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
,,,,,239,20/05/2024,home to muthukadai to room to clg,-,72,,,,,,,,
,,,,,240,20/05/2024,haircut ,-,100,,,,,,,,
,,,,,241,21/05/2024,spare,-,20,,,,,,,,
,,,,,242,21/05/2024,food,-,60,,,,,,,,
,,,,,243,22/05/2024,food,-,117,,,,,,,,
,,,,,244,22/05/2024,tea,-,10,,,,,,,,
,,,,,245,23/05/2024,mrng food + extra current bill,-,142,,,,,,,,
,,,,,246,23/05/2024,spare,-,10,,,,,,,,
,,,,,247,24/05/2024,spare,-,10,,,,,,,,
,,,,,248,24/05/2024,tea+coffee +pen,-,60,,,,,,,,
,,,,,249,24/05/2024,egg+snacks +juice +can+phonpe,-,99,,,,,,,,
,,,,,250,25/05/2024,mrng food,-,93,,,,,,,,
,,,,,251,25/05/2024,movie,-,120,,,,,,,,
,,,,,252,25/05/2024,food,-,150,,,,,,,,
,,,,,253,26/05/2024,vegetable +egg+juice ,-,120,,,,,,,,
,,,,,254,26/05/2024,juice +milk,-,42,,,,,,,,
,,,,,255,26/05/2024,recharge ,-,30,,,,,,,,
,,,,,256,27/05/2024,curd,-,10,,,,,,,,
,,,,,257,28/05/2024,spare,-,10,,,,,,,,
,,,,,258,28/05/2024,watercan,-,15,,,,,,,,
,,,,,259,29/05/2024,spare,-,10,,,,,,,,
,,,,,260,29/05/2024,juice +pen+chocolate ,-,96,,,,,,,,
,,,,,261,29/05/2024,Maggie +egg,-,52,,,,,,,,
,,,,,262,30/05/2024,food+tea+milk+bannana +tea powder,-,160,,,,,,,,
,,,,,263,31/05/2024,food+icecream ,-,180,,,,,,,,
,,,,,264,31/05/2024,sprite+appy+bannana +egg+tomato ,-,100,,,,,,,,
,,,,,265,01/06/2024,supermarket +waterbottle ,-,163,,,,,,,,
,,,,,266,01/06/2024,Xerox ,-,32,,,,,,,,
,,,,,267,01/06/2024,watercan,-,15,,,,,,,,
,,,,,268,03/06/2024,coco+egg+juice ,-,84,,,,,,,,
,,,,,267,04/06/2024,spare,-,10,,,,,,,,
,,,,,268,05/06/2024,spare,-,10,,,,,,,,
,,,,,269,05/06/2024,vegetable +tea+Kishore ,-,82,,,,,,,,
,,,,,270,06/06/2024,milk+tea&puggs + vegetable ,-,120,,,,,,,,
,,,,,271,06/06/2024,spare,-,10,,,,,,,,
,,,,,272,07/06/2024,Afternoon food,-,140,,,,,,,,
,,,,,273,07/06/2024,juice,-,50,,,,,,,,
,,,,,274,07/06/2024,egg+bannana +chips,-,46,,,,,,,,
,,,,,275,08/06/2024,room to Kanchipuram to arcot+coco,-,93,,,,,,,,
,,,,,276,08/06/2024,ice cream + home shop,-,125,,,,,,,,
,,,,,277,09/06/2024,chain+headband+bannana ,-,140,,,,,,,,
,,,,,278,10/06/2024,juice +snacks+Maggie,-,124,,,,,,,,
,,,,,279,11/06/2024,spare,-,20,,,,,,,,
,,,,,279,11/06/2024,soda+waterbottle +snacks ,-,60,,,,,,,,
,,,,,280,11/06/2024,room rent,-,1400,,,,,,,,
,,,,,281,12/06/2024,tea+waterbottle +watercan,-,47,,,,,,,,
,,,,,282,12/06/2024,new course ,-,25,,,,,,,,
,,,,,283,13/06/2024,bus spare marriage ,-,40,,,,,,,,
,,,,,284,13/06/2024,classic juice,-,55,,,,,,,,
,,,,,285,13/06/2024,pannipoori+bannana +tomato +egg,-,122,,,,,,,,
,,,,,286,14/06/2024,teatime +juice ,-,75,,,,,,,,
,,,,,287,14/06/2024,spare,-,30,,,,,,,,
,,,,,288,13-14/06/2024,record,-,115,,,,,,,,
,,,,,289,14/06/2024,farewell ,-,300,,,,,,,,
,,,,,290,15/06/2024,mrng food+centerfresh+nyt soda,-,52,,,,,,,,
,,,,,291,17/06/2024,tea+can,-,25,,,,,,,,
,,,,,292,17/06/2024,supermarket +spare,-,292,,,,,,,,
,,,,,293,18/06/2024,mrng food+clg spare+juice,-,110,,,,,,,,
,,,,,294,18/06/2024,kanchi to arcot to home,-,58,,,,,,,,
,,,,,295,20/06/2024,detergent +non-veg+petrol ,-,244,,,,,,,,
,,,,,296,21/06/2024,non-veg,-,70,,,,,,,,
,,,,,297,22/06/2024,snacks+non-veg,-,120,,,,,,,,
,,,,,298,25/06/2024,non-veg+bakery ,-,115,,,,,,,,
,,,,,299,26/06/2024,room water charge,-,50,,,,,,,,
,,,,,300,26/06/2024,book+wallposter,-,476,,,,,,,,
,,,,,301,27/06/2024,non-veg,-,70,,,,,,,,
,,,,,302,28/06/2024,non-veg,-,70,,,,,,,,
,,,,,303,29/06/2024,topup+recharge ,-,60,,,,,,,,
,,,,,304,30/06/2024,buds,-,5,,,,,,,,
,,,,,305,01/07/2024,puffs + snacks ,-,70,,,,,,,,
,,,,,306,02/07/2024,NM Fees,-,300,,,,,,,,
,,,,,307,03/07/2024,skincare,-,284,,,,,,,,
,,,,,308,03/07/2024,Recharge ,-,76,,,,,,,,
,,,,,309,05/07/2024,Ponnu store,-,83,,,,,,,,
,,,,,310,08/07/2027,Home to Arcot to Room,-,55,,,,,,,,
,,,,,311,08/07/2024,watercan,-,20,,,,,,,,
,,,,,312,09/07/2024,curd+salt+snack+milk,-,62,,,,,,,,
,,,,,313,10/07/2024,Pencil + sharpener + centerfresh + juice,-,33,,,,,,,,
,,,,,314,10/07/2024,spare,-,30,,,,,,,,
